Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Khalfaoui, R., Mefteh-Wali, S., Viviani, J.-L., Ben Jabeur, S., Abedin, M.Z., Lucey, B.M.","12646573300; 57200638505; 23478483000; 57193341755; 57711046400; 57201834706","How do climate risk and clean energy spillovers, and uncertainty affect U.S. stock markets?",2022,"Technological Forecasting and Social Change",185,"", 122083,,,,,10.1016/j.techfore.2022.122083,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85139204232&partnerID=40&md5=9def37e7ca29a8c3bbecea82f456d1bd",Article,Final,"",Scopus,2-s2.0-85139204232
"Keshavarzzadeh, A.H., Thut, C., Andersen, D., Lingsch, L., Patt, A.G.","57209233772; 57912075700; 57911878300; 57912075800; 6602116185","Novel quota and tax regime design approach for green transition: A case study on Switzerland's aviation industry",2022,"Energy Policy",171,"", 113263,,,,,10.1016/j.enpol.2022.113263,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85139070173&partnerID=40&md5=067884628496cb320e046f2682d2b0ed",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85139070173
"Aslan, A., Posch, P.N.","57226761955; 47061647000","Does carbon price volatility affect European stock market sectors? A connectedness network analysis",2022,"Finance Research Letters",50,"", 103318,,,,,10.1016/j.frl.2022.103318,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85138199519&partnerID=40&md5=4254a25b04377f80ed0373587b1dddd2",Article,Final,"",Scopus,2-s2.0-85138199519
"Dolphin, G., Xiahou, Q.","57216359979; 57894256900","World carbon pricing database: sources and methods",2022,"Scientific Data",9,"1", 573,,,,,10.1038/s41597-022-01659-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85138147885&partnerID=40&md5=6c6d5cc10e216a4a78ffcaf8b35c80fa",Data Paper,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85138147885
"Jiang, K., Yan, X., Liu, N., Wang, P.","57216353493; 57193930985; 8384521800; 56605598300","Energy trade-offs in coupled ICM and electricity market under dynamic carbon emission intensity",2022,"Energy",260,"", 125077,,,,,10.1016/j.energy.2022.125077,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85136491905&partnerID=40&md5=80f645f03cd09e8ad772c536ee42e8a9",Article,Final,"",Scopus,2-s2.0-85136491905
"Colelli, F.P., Emmerling, J., Marangoni, G., Mistry, M.N., De Cian, E.","57218296796; 56524474400; 55657062700; 57195134788; 36600463100","Increased energy use for adaptation significantly impacts mitigation pathways",2022,"Nature Communications",13,"1", 4964,,,,,10.1038/s41467-022-32471-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85136454158&partnerID=40&md5=a08eecca9066fed8b742f621ef4a96c7",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85136454158
"Wang, L., Shi, Z., Dai, W., Zhu, L., Wang, X., Cong, H., Shi, T., Liu, Q.","57203308684; 57807440200; 57395742700; 57225215194; 57216497654; 57199183660; 57806965600; 57807129900","Two-stage stochastic planning for integrated energy systems accounting for carbon trading price uncertainty",2022,"International Journal of Electrical Power and Energy Systems",143,"", 108452,,,,,10.1016/j.ijepes.2022.108452,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85134359716&partnerID=40&md5=d2a00c42e7f4589cdb65bcaf168e693b",Article,Final,"",Scopus,2-s2.0-85134359716
"Guo, Y., Kelly, J.A., Clinch, J.P.","57420946500; 57191222136; 57765904000","Variability in total cost of vehicle ownership across vehicle and user profiles",2022,"Communications in Transportation Research",2,"", 100071,,,,1,10.1016/j.commtr.2022.100071,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85132898849&partnerID=40&md5=5e9f64edefc3e2faef0be246928ade00",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85132898849
"Ramirez Camargo, L., Castro, G., Gruber, K., Jewell, J., Klingler, M., Turkovska, O., Wetterlund, E., Schmidt, J.","57214077510; 57221951425; 57202818501; 36625509200; 57190164193; 57190444668; 35308227000; 7404659001","Pathway to a land-neutral expansion of Brazilian renewable fuel production",2022,"Nature Communications",13,"1", 3157,,,,,10.1038/s41467-022-30850-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85131503526&partnerID=40&md5=e4492589bda5f4b364615e7aa37095c5",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85131503526
"Yu, H., Jiang, Y., Zhang, Z., Shang, W.-L., Han, C., Zhao, Y.","57094287100; 57402381800; 57655089600; 56921466400; 57194188792; 57094276700","The impact of carbon emission trading policy on firms’ green innovation in China",2022,"Financial Innovation",8,"1", 55,,,,4,10.1186/s40854-022-00359-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85131007118&partnerID=40&md5=76f3cb0549c2abae9096d4b70321d746",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85131007118
"Chaichaloempreecha, A., Chunark, P., Hanaoka, T., Limmeechokchai, B.","57197846551; 56245678600; 24780558800; 6602163832","Thailand’s mid-century greenhouse gas emission pathways to achieve the 2 degrees Celsius target",2022,"Energy, Sustainability and Society",12,"1", 22,,,,1,10.1186/s13705-022-00349-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85130632085&partnerID=40&md5=4ba35ebc57dc9083a84f4d04c9eb7999",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85130632085
"Cox, B., Innis, S., Kunz, N.C., Steen, J.","57703036200; 57189973336; 55633984100; 56227832800","The mining industry as a net beneficiary of a global tax on carbon emissions",2022,"Communications Earth and Environment",3,"1", 17,,,,3,10.1038/s43247-022-00346-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85128937782&partnerID=40&md5=9fd6e8b9a3f61f70fa2f29fc31d6351f",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85128937782
"Cong, J., Pei, Y., Xu, T., Zhao, Y., Ren, L., Schwarz, P., Zhang, M., Song, J., Zhang, W., Yang, J.","57193335865; 57899373400; 57899476300; 57899373500; 15066065900; 8707975900; 57899325700; 57899373600; 57218268213; 57196225423","How does the carbon market impact the economy-energy-environment system in resource-based regions of China? Empirical evidence from Shanxi Province",2022,"Journal of Cleaner Production",376,"", 134218,,,,,10.1016/j.jclepro.2022.134218,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85138474529&partnerID=40&md5=d87bcf7b9f3a6b3a4d62546b0e2d97f4",Article,Final,"",Scopus,2-s2.0-85138474529
"Wu, Q., Li, C.","36081531000; 57208671240","Economy-environment-energy benefit analysis for green hydrogen based integrated energy system operation under carbon trading with a robust optimization model",2022,"Journal of Energy Storage",55,"", 105560,,,,,10.1016/j.est.2022.105560,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85137165193&partnerID=40&md5=e6b4db2cb080de8d7c9cd32a51c17c99",Article,Final,"",Scopus,2-s2.0-85137165193
"Nie, Q., Zhang, L., Tong, Z., Hubacek, K.","57201355542; 55357893600; 57221776787; 55802235200","Strategies for applying carbon trading to the new energy vehicle market in China: An improved evolutionary game analysis for the bus industry",2022,"Energy",259,"", 124904,,,,,10.1016/j.energy.2022.124904,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85135695815&partnerID=40&md5=6f868ee4128873721359c4deda0bfd1f",Article,Final,"",Scopus,2-s2.0-85135695815
"Saberi, S., Liu, Z., Besik, D.","56349610100; 13004708700; 57193160188","Strategic decision for capacity portfolio in supply chain network considering emission permit price and demand uncertainty",2022,"Journal of Cleaner Production",374,"", 133797,,,,,10.1016/j.jclepro.2022.133797,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85138062389&partnerID=40&md5=ff39c5806c08c7081c7134f459a3c65a",Article,Final,"",Scopus,2-s2.0-85138062389
"Wei, N., Liu, S., Jiao, Z., Li, X.-C.","56221250600; 56517160900; 57881745200; 57202294690","A possible contribution of carbon capture, geological utilization, and storage in the Chinese crude steel industry for carbon neutrality",2022,"Journal of Cleaner Production",374,"", 133793,,,,,10.1016/j.jclepro.2022.133793,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85137650856&partnerID=40&md5=e047811bd9f898e369cf40079967f0a7",Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85137650856
"Lilliestam, J., Patt, A., Bersalli, G.","26039317200; 6602116185; 57219098187","On the quality of emission reductions: observed effects of carbon pricing on investments, innovation, and operational shifts. A response to van den Bergh and Savin (2021)",2022,"Environmental and Resource Economics",83,"3",,733,758,,,10.1007/s10640-022-00708-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85140947465&partnerID=40&md5=301f4ad534505a42ea71c72505210a1e",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85140947465
"Ding, B., Makowski, M., Nahorski, Z., Ren, H., Ma, T.","57202549963; 7005868081; 55886361700; 56739771400; 55786524500","Optimizing the technology pathway of China's liquid fuel production considering uncertain oil prices: A robust programming model",2022,"Energy Economics",115,"", 106371,,,,,10.1016/j.eneco.2022.106371,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85140652717&partnerID=40&md5=27176077d330c8619f5e4925af5c72e0",Article,Final,"",Scopus,2-s2.0-85140652717
"Liebensteiner, M., Naumann, F.","55953479000; 57936087100","Can carbon pricing counteract renewable energies’ cannibalization problem?",2022,"Energy Economics",115,"", 106345,,,,,10.1016/j.eneco.2022.106345,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85140302295&partnerID=40&md5=2a659b8ca3919e4b46d84240265458ee",Article,Final,"",Scopus,2-s2.0-85140302295
"Hashmi, N., Aqib Jalil, S., Javaid, S.","57204875010; 57814091600; 36606356700","A multi-objective model for closed-loop supply chain network based on carbon tax with two fold uncertainty: An application to leather industry",2022,"Computers and Industrial Engineering",173,"", 108724,,,,,10.1016/j.cie.2022.108724,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85140008075&partnerID=40&md5=0d54bc7c8d1103887cc58faab5d7c341",Article,Final,"",Scopus,2-s2.0-85140008075
"Zheng, M., Yu, F., Guo, S.","57925099500; 57925216400; 57925160600","Discussion on the effects of carbon trading for construction-related activities based on hybrid defuzzification strategy",2022,"Sustainable Production and Consumption",34,"",,412,439,,,10.1016/j.spc.2022.09.018,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85139732449&partnerID=40&md5=937d4f3b8fe4b5bf5c4187dcd514b1a4",Article,Final,"",Scopus,2-s2.0-85139732449
"Li, H., Zhou, D., Hu, J., Guo, L.","57196035227; 57698425600; 57907870700; 57225143416","Dynamic linkages among oil price, green bond, carbon market and low-carbon footprint company stock price: Evidence from the TVP-VAR model",2022,"Energy Reports",8,"",,11249,11258,,1,10.1016/j.egyr.2022.08.230,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85138801349&partnerID=40&md5=247527ea29b56a38a488c6bfa04dce4e",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85138801349
"Li, P.-H., Barazza, E., Strachan, N.","57201941443; 57214080337; 57204344067","The influences of non-optimal investments on the scale-up of smart local energy systems in the UK electricity market",2022,"Energy Policy",170,"", 113241,,,,,10.1016/j.enpol.2022.113241,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85137842541&partnerID=40&md5=e9cd98b8b9bd34df2b46e83e4762af94",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85137842541
"Xue, G.","57868118700","A two-stage heuristic solution for multi-depot collaborative pickup and delivery network with transfers to reduce carbon emissions",2022,"Journal of Cleaner Production",373,"", 133839,,,,,10.1016/j.jclepro.2022.133839,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85137030728&partnerID=40&md5=fdee7afa09f6b70e06e5f263de911615",Article,Final,"",Scopus,2-s2.0-85137030728
